house name,price per week,room type,bedroom,bathroom,parking,school 1,distance 1,school 2,distance 2,school 3,distance 3,school 4,distance 4,school 5,distance 5
210 Blackburn Road Blackburn South Vic 3130,595,House,4,3,1,Aurora School,486,Orchard Grove Primary School,658,St Luke the Evangelist School,953,Forest Hill College,1009,Burwood Heights Primary School,1047
2108/9 Power Street Southbank Vic 3006,420,Apartment,1,1,0,Victorian College Of The Arts Secondary School,704,South Melbourne Primary School,974,Ozford College,1268,Montague Continuing Education Centre,1339,Haileybury College - City Campus,1499
211/6 Victoria Street St Kilda Vic 3182,625,Apartment,1,1,1,St Kilda Park Primary School,804,Yesodei Hatorah College,1384,St Kilda Primary School,1558,St Michael's Grammar School,1714,Victorian College For The Deaf,1807
211/8 Bourke Street Ringwood Vic 3134,490,Apartment,2,2,1,Our Lady of Perpetual Help School,677,Ringwood Secondary College,1240,Ringwood Heights Primary School,1324,Aquinas College,1445,Great Ryrie Primary School,1673
213 Don Street Bendigo Vic 3550,590,House,3,2,2,Bendigo Primary School,239,Girton Grammar School,545,Catherine McAuley College St Mary's Campus,716,Creek Street Christian College,926,Camp Hill Primary School,1011
216-218 Rossiter Road Koo Wee Rup Vic 3981,525,House,4,1,2,St John the Baptist's School,476,Koo Wee Rup Primary School,1014,Koo Wee Rup Secondary College,1219,Bayles Regional Primary School,7640,Cardinia Primary School,8233
22 Piedmont Street Box Hill South Vic 3128,380,House,2,1,2,Kingswood College,244,Our Lady of Perpetual Succour School,367,Roberts McCubbin Primary School,1051,Surrey Hills Primary School,1389,Our Holy Redeemer School,1769
22 Victor Crescent Forest Hill Vic 3131,550,House,4,2,1,Burwood Heights Primary School,551,Forest Hill College,686,Emmaus College,796,Parkmore Primary School,830,Vermont South Special School,1497
222/158 Smith Street Collingwood Vic 3066,600,Apartment,2,2,1,Collingwood English Language School,421,Collingwood College,425,St Joseph's School,454,Sacred Heart School,469,Fitzroy Primary School,531
227/2 Gillies Street Essendon North Vic 3041,350,Apartment,1,1,1,Essendon North Primary School,141,Buckley Park College,874,St Therese's School,1180,St John Bosco's School,1286,Strathmore Primary School,1366
23 Normdale Road Bentleigh East Vic 3165,490,House,4,2,2,East Bentleigh Primary School,448,St James College,508,Southern Autistic School,751,St Peter's School,819,Bentleigh Secondary College,856
2301/1 Almeida Crescent South Yarra Vic 3141,1800,Apartment,3,2,3,Kamaruka Education Centre,290,Melbourne High School,445,Christ Church Grammar School,827,South Yarra Primary School,898,Richmond Primary School,1126
234 Albert Street Brunswick Vic 3056,525,Townhouse,2,1,1,Sydney Road Community School,190,Brunswick Secondary College,832,St Margaret Mary's School,1234,Brunswick South Primary School,1296,Brunswick East Primary School,1436
24 Monaro Street Tarneit Vic 3029,480,House,4,2,2,Tarneit P-9 College,678,Tarneit Senior College,998,Baden Powell P-9 College,1010,St James the Apostle School,1608,St Francis of Assisi Catholic Primary School,1629
240 Myers St Geelong Vic 3220,450,House,3,2,1,Geelong High School,419,St Mary's Primary School,882,Geelong South Primary School,1045,St Margaret's School,1058,Tate Street Primary School Geelong,1450
2404/9 Waterside Place Docklands Vic 3008,780,Apartment,2,2,2,Docklands Primary School,870,Montague Continuing Education Centre,1367,Ozford College,1399,Haileybury College - City Campus,1431,South Melbourne Primary School,1443
24/31 Moreland Street Footscray Vic 3011,360,Apartment,1,1,1,St Monica's Primary School,129,Footscray City Primary School,833,Gilmore College For Girls,1165,Footscray Primary School,1305,Footscray City College,1736
26 Malmsbury Street Kew Vic 3101,500,House,2,1,1,Kew Primary School,174,St Paul's College,750,Sacred Heart Parish School,786,Trinity Grammar School,888,Xavier College,1082
26 Raven Close Ocean Grove Vic 3226,360,House,3,1,0,Ocean Grove Primary School,395,Our Lady Star of the Sea Primary School,1428,Surfside Primary School,1656,Barwon Heads Primary School,3950,Wallington Primary School,4996
27 Garnet Street Essendon West Vic 3040,700,House,3,1,1,Rosehill Secondary College,256,St Bernard's College,271,St John Bosco's School,696,Buckley Park College,950,Aberfeldie Primary School,1035
2704/8 Kavanagh Street Southbank Vic 3006,1100,Apartment,2,2,1,Victorian College Of The Arts Secondary School,677,South Melbourne Primary School,1372,Melbourne Grammar School,1390,Holmes Secondary School,1446,Ozford College,1530
28A Pridham Street Maribyrnong Vic 3032,550,House,4,1,2,Maribyrnong Secondary College,195,Footscray North Primary School,741,Rosamond Special School,862,Footscray City College,1184,St John's School,1633
29 Ireland Street West Melbourne Vic 3003,1200,House,3,2,1,Docklands Primary School,631,Simonds Catholic College,683,Haileybury College - City Campus,788,St Joseph's Flexible Learning Centre,961,Ozford College,996
29 Shetland Drive Wantirna Vic 3152,740,House,4,2,1,Bayswater West Primary School,750,Regency Park Primary School,1200,Bayswater Primary School,1231,St Luke's School,1244,Heathmont College,1536
