,Suburbs,Addresses,Price per week ($),Bedrooms,Bathrooms,Garages,Land Sizes (m^2),Nearest Schools
1767,ALTONA VIC 3018,"208/117 Pier Street, ALTONA VIC 3018",$405,2,2,1,,"['0.7 km away', '1.2 km away', '9.8 km away']"
1768,FOOTSCRAY VIC 3011,"1003/8 Joseph Road, FOOTSCRAY VIC 3011",$480,2,1,1,,"['1.2 km away', '1.7 km away', '5.3 km away']"
1769,BENTLEIGH VIC 3204,"2/116 Jasper Road, BENTLEIGH VIC 3204",$450.00,2,1,1,,"['1.2 km away', '1.7 km away', '1.9 km away']"
1770,BUNDOORA VIC 3083,"213/50 Janefield Drive, BUNDOORA VIC 3083",$370,2,1,0,,"['1.1 km away', '2.3 km away', '1.1 km away']"
1771,CARLTON VIC 3053,"4103/160 Victoria Street, CARLTON VIC 3053",$700/W,1,1,1,,"['0.8 km away', '1.2 km away', '0.6 km away']"
1772,SOUTH YARRA VIC 3141,"415/38 Cunningham Street, SOUTH YARRA VIC 3141",$450,2,1,1,,"['1.3 km away', '1.4 km away', '2.5 km away']"
1773,PRESTON VIC 3072,"3/11 Mihil Street, PRESTON VIC 3072",$475.00,1,1,1,,"['0.6 km away', '1.2 km away', '2.9 km away']"
1774,FOOTSCRAY VIC 3011,"1202b/4 Joseph Rd, FOOTSCRAY VIC 3011",$390,2,1,2,138,"['1.1 km away', '1.7 km away', '5.3 km away']"
1775,DROUIN VIC 3818,"4/2-4 Morton Avenue, DROUIN VIC 3818",$290,2,1,0,,"['1.2 km away', '1.3 km away', '0.8 km away']"
1776,MELBOURNE VIC 3000,"918/422 Collins St, MELBOURNE VIC 3000",$600,2,2,1,,"['2.3 km away', '1.5 km away', '1.7 km away']"
1777,MELBOURNE VIC 3000,"76/283 Spring Street, MELBOURNE VIC 3000",$600.00,2,2,1,,"['0.7 km away', '1.8 km away', '1.5 km away']"
1778,ESSENDON VIC 3040,"906/19 Russell Street, ESSENDON VIC 3040",$470,1,1,0,,"['0.5 km away', '2 km away', '7.9 km away']"
1779,MELBOURNE VIC 3000,"201/19 Exploration Lane, MELBOURNE VIC 3000",$385,1,1,1,,"['0.8 km away', '1.7 km away', '0.4 km away']"
1780,WINDSOR VIC 3181,"12/30 James Street, WINDSOR VIC 3181",,2,2,1,,"['0.2 km away', '0.5 km away', '3.1 km away']"
1781,MOONEE PONDS VIC 3039,"105/333 Ascot Vale Rd, MOONEE PONDS VIC 3039",$480,1,1,0,,"['0.7 km away', '1.8 km away', '8.6 km away']"
1782,MELBOURNE VIC 3000,"1106/270 King Street, MELBOURNE VIC 3000",$340.00,2,1,1,,"['1.9 km away', '1.2 km away', '1.7 km away']"
1783,DOCKLANDS VIC 3008,"607/15 Caravel Lane, DOCKLANDS VIC 3008",$550,2,2,1,,"['2.3 km away', '0.2 km away', '1.9 km away']"
1784,WEST MELBOURNE VIC 3003,"202/87-89 Roden Street, WEST MELBOURNE VIC 3003",$575,2,1,1,,"['1 km away', '1.3 km away', '0.4 km away']"
1785,DONCASTER VIC 3108,"710/5 Elgar Court, DONCASTER VIC 3108",$450,2,1,1,,"['0.5 km away', '1.3 km away', '2.5 km away']"
1786,CHELTENHAM VIC 3192,"4/204 Charman Road, CHELTENHAM VIC 3192",$430,2,2,1,,"['0.3 km away', '1.1 km away', '2.2 km away']"
1787,MELBOURNE VIC 3000,"5209/560 Lonsdale Street, MELBOURNE VIC 3000",$790.00,2,1,1,,"['1.9 km away', '1.2 km away', '1.7 km away']"
1788,WODONGA VIC 3690,"1/6 Rattray Avenue, WODONGA VIC 3690",$250,2,1,0,,"['1.9 km away', '2.1 km away', '2.2 km away']"
1789,CARLTON NORTH VIC 3054,"1/1094-1096 Lygon Street, CARLTON NORTH VIC 3054",$520.00,2,1,1,,"['0.2 km away', '0.6 km away', '2.3 km away']"
1790,THOMSON VIC 3219,"1/15 Robertson Street, THOMSON VIC 3219",$320.00,2,1,0,,"['0.4 km away', '1.3 km away', '3.3 km away']"
